DATE,SBUX,AMZN,MKTminusRF,SMB,HML,RMW,CMA,MOM,RF
20111006,.0118266,.0091572,.0194,.0033,.0037,-.0032,.0015,-.0107,0
20111007,.0197402,.0145818,-.0098,-.0139,-.01,.0123,.0002,.0177,0
20111010,,,.0344,.006,.0036,-.0033,-.0021,-.0051,0
20111011,.0100196,.0179837,.0015,.0066,-.0024,.0008,-.0023,-.0031,0
20111012,.0043551,.005648,.0107,.0061,.0062,-.0047,.0021,-.0132,0
20111013,-.010118,-.0027871,-.0021,.001,-.0086,.0025,-.0032,.009,0
20111014,.0275006,.0447174,.0172,.0015,-.0035,-.0007,-.0059,.0018,0
20111017,,,-.0206,-.0139,.0003,.0035,-.0004,.009,0
20111018,.0313411,.0063962,.0211,.008,.011,-.0121,.0038,-.0207,0
20111019,-.0360425,-.0506397,-.0138,-.0076,.0049,.0018,.0053,.0044,0
20111020,.0017107,.0089837,.0042,-.0019,.0059,-.0023,.0021,-.0046,0
20111021,.0268358,.0050083,.0192,.0017,-.0007,-.0023,.0003,-.0048,0
20111024,,,.0159,.0179,-.0063,-.0019,-.0052,-.0137,0
20111025,-.0296192,-.0440217,-.0213,-.0089,-.0013,.0059,.0004,.01,0
20111026,.002907,-.1265683,.0112,.0077,.008,-.0076,.0032,-.0068,0
20111027,.0403381,.0422379,.0354,.0157,.0041,-.0125,-.0011,-.0265,0
20111028,-.0132343,.0509721,-.0001,-.0052,-.0041,-.0014,-.0025,-.0045,0
20111031,,,-.025,-.0005,-.0064,.009,.0016,.0223,0
20111101,,,-.0286,-.0068,-.0078,.0075,-.0001,.0177,0
20111102,-.0012127,.0165959,.0172,.0085,.0081,-.0054,-.0006,-.0087,0
20111103,.0053424,.0123829,.0197,.0063,-.002,.0002,-.0005,-.0036,0
20111104,.0673912,-.0082917,-.0053,-.0002,-.0046,.0013,-.0001,-.001,0
20111107,,,.0048,-.0068,.0034,.0025,.004,-.0009,0
20111108,.0029392,.0045622,.0121,.0007,.0028,-.0007,-.0011,-.0043,0
20111109,-.0317854,-.0310565,-.0378,-.0091,-.0032,.0071,.0031,.0183,0
20111110,.0132712,-.0020358,.0083,.001,.0051,.0009,.0051,-.0008,0
20111111,.0188419,.0313108,.0198,.0054,-.003,.0005,-.0018,-.0042,0
20111114,,,-.0092,-.0053,-.0073,.0041,-.0024,.0084,0
20111115,.0089367,-.0050244,.0056,.0085,-.003,.0014,-.0017,.0039,0
20111116,-.0229389,-.0268099,-.0164,-.0021,-.0011,-.0013,.0005,.0029,0
20111117,-.0230126,-.0352375,-.0165,.0018,.0029,.0021,.0043,.0121,0
20111118,-.0002379,-.0360845,-.0007,.0011,.0089,-.0009,.0062,-.0005,0
20111121,,,-.0187,-.0055,.0003,.0003,-.0006,.0091,0
20111122,.0143954,.0163276,-.0044,-.0035,-.0054,.0017,-.0025,.0094,0
20111123,-.0243614,-.017417,-.0229,-.0074,-.0019,.0056,.0018,.0074,0
20111125,,,-.0034,-.0096,.0044,-.0023,.0037,-.0005,0
20111128,,,.031,.0159,-.0079,-.0041,-.0054,-.0039,0
20111129,.0086022,-.0296678,.0018,-.0054,.003,.0013,.0035,.0052,0
20111130,.0300877,.0207017,.0444,.0118,.0069,-.0081,-.0003,-.0188,0
20111201,,,-.0022,-.0056,-.0055,.0036,-.0018,.0026,0
20111202,.0073411,-.0055801,.0005,.0056,.0056,-.0025,.0026,-.0055,0
20111205,,,.0109,.0033,.001,-.0056,-.004,-.0097,0
20111206,-.0106335,-.0216572,.0004,-.0008,.0007,.0007,.002,.0009,0
20111207,.0034302,.0173447,.0016,-.0019,.0054,.0019,.004,-.0042,0
20111208,-.0232452,-.0247799,-.0223,-.0083,-.0079,.0075,0,.0177,0
20111209,.0256649,.0133872,.0183,.0134,-.0004,-.0029,-.0022,-.0064,0
20111212,,,-.0148,-.0001,-.0031,.0058,.0028,.0102,0
20111213,-.0088636,-.0475412,-.0105,-.0105,.0026,-.0002,.0011,.0114,0
20111214,-.0119239,-.0016619,-.0121,-.0027,.0081,-.0011,.0076,.0019,0
20111215,.0071943,.0058265,.004,.0066,.0012,.0018,.0056,.0031,0
20111216,.0018433,0,.0045,.0033,-.002,.0031,-.0013,.0033,0
20111219,,,-.0131,-.0051,-.0054,.0061,-.0007,.018,0
20111220,.0330124,.0177884,.031,.0088,.0006,-.0059,-.0015,-.0122,0
20111221,.0039947,-.0447622,.002,.0003,.0135,-.0042,.0095,-.001,0
20111222,-.0053051,.0268425,.0083,-.0013,.0056,-.0071,-.0005,-.0181,0
20111223,.01,-.0097749,.0084,-.0053,-.0015,.003,0,.0038,0
20111227,,,.0004,.0042,-.0045,.003,-.0024,.01,0
20111228,-.0034828,-.013502,-.0134,-.0073,.0005,.0011,.0024,.0087,0
20111229,.0146353,-.0001725,.011,.0023,.0017,-.0015,.0009,-.0066,0
20111230,-.0094726,-.0043713,-.004,-.0008,-.0006,-.0009,.0002,-.0066,0
20120103,,,.015,-.0003,.0056,-.0047,-.0021,-.0262,0
20120104,.0194303,-.0084902,0,-.0062,-.0001,.0028,-.0006,.0013,0
20120105,.0041153,.0005634,.0039,.0021,0,-.0026,.0007,-.0058,0
20120106,.0077653,.0281516,-.0019,-.0004,-.0026,.0002,-.0004,-.0006,0
20120109,,,.0028,.0025,-.0013,-.0026,.0025,-.0034,0
20120110,.0049367,.0043683,.0097,.0044,.0032,-.0064,-.0002,-.0112,0
20120111,.0064075,-.0024535,.0013,.0019,.0018,-.0065,.0022,-.0129,0
20120112,.0101867,-.0166015,.0031,.0029,-.0005,-.0023,.0006,-.0054,0
20120113,-.005042,.0141534,-.0052,-.0026,-.0045,.0058,.001,.0105,0
20120117,,,.0036,-.0015,-.0064,.0052,-.0031,.0076,0
20120118,.0069168,.0428273,.0122,.0062,.0002,-.0043,-.0017,-.0172,0
20120119,-.0004163,.0264463,.0051,-.001,-.0033,-.0001,-.0023,-.0115,0
20120120,.0027072,-.0181024,.0003,.0029,.0054,-.0004,.001,-.0062,0
20120123,,,.0002,-.0022,.0005,.0023,-.0038,-.0045,0
20120124,.0065484,.0048901,0,.0075,-.0039,-.003,-.0022,-.003,0
20120125,.0025183,.0042781,.0091,.0005,-.0057,.0026,-.0022,-.0008,0
20120126,.0119322,.029393,-.0059,.0021,-.004,.0022,-.0004,.0027,0
20120127,-.0101366,.0106041,.0001,.0086,-.002,-.002,-.0017,-.0061,0
20120130,,,-.0031,-.0049,-.003,.0039,.0003,.0074,0
20120131,-.0115512,.0119178,-.0005,-.0006,.0007,-.0004,-.0013,.0024,0
20120201,,,.011,.0115,.0019,-.004,.0029,-.0079,0
20120202,-.0120233,.0125933,.0017,.0038,.0003,-.0047,-.0002,-.0052,0
20120203,.0138481,.0327977,.0158,.0066,.0007,-.0051,-.0023,-.0147,0
20120206,,,-.0005,-.0028,-.0007,-.0005,-.0022,-.0028,0
20120207,.002485,.0057333,.0016,-.0028,-.0003,.0014,0,.0031,0
20120208,.0064037,.0070036,.0025,-.0007,.0032,-.001,.0001,-.0045,0
20120209,.0098522,-.0026957,.0015,-.004,-.0034,.0026,.0004,.0025,0
20120210,-.0077236,.0030273,-.0075,-.0059,-.0001,.0026,.0017,.01,0
20120213,,,.0075,.0059,-.0015,-.0009,.0001,.0022,0
20120214,-.0026396,-.0015136,-.0009,-.0043,-.0031,.0046,-.0021,.0062,0
20120215,-.0130293,-.0357031,-.005,-.0024,.0018,-.0019,.0004,-.0046,0
20120216,.0008251,-.0246111,.0127,.0071,.0011,-.0024,-.0016,-.0097,0
20120217,-.0014427,.0142834,.0016,-.0023,.0046,.0012,.003,-.0015,0
20120221,,,-.0005,-.006,.0032,.0005,-.0033,.002,0
20120222,.0014505,-.0092176,-.0039,-.0038,-.0053,.0049,-.0014,.0057,0
20120223,.0026898,-.0093587,.0056,.009,-.0005,-.0042,.0023,-.0016,0
20120224,-.0033017,.0013416,.0015,-.0048,-.005,.0011,-.0021,.0016,0
20120227,,,.0014,-.0012,.0025,.0006,.0009,.001,0
20120228,.0140991,.0295189,.0028,-.0061,-.0017,.0028,-.0003,.0022,0
20120229,-.007156,-.0223613,-.0055,-.0107,.0022,.0007,.0031,.0068,0
20120301,,,.0064,-.0015,-.0004,.0005,-.0008,-.0031,0
20120302,.0036953,-.0041101,-.0046,-.0124,.0006,.0008,.0035,.0036,0
20120305,,,-.004,.0043,.0034,.0004,.0038,.0125,0
20120306,-.014478,.0046045,-.0162,-.0038,-.0014,.0043,-.002,.0111,0
20120307,.0240017,.0147993,.008,.0034,.001,-.002,.0006,-.0047,0
20120308,.0177813,.0210589,.0107,.0039,-.0038,-.0003,.0005,-.0013,0
20120309,.0291841,-.0176934,.0049,.0091,.0009,-.0009,-.0001,-.0041,0
20120312,,,-.0007,-.0023,-.0001,.002,.0009,.0078,0
20120313,.0240657,.0065434,.0186,.0023,.0048,-.0049,-.0009,-.0121,0
20120314,.006496,-.0126226,-.0023,-.006,-.0031,.0056,.0014,.004,0
20120315,.0074032,.0119061,.0067,.0033,.0039,-.0042,.0016,-.0117,0
20120316,.002638,.0033618,.0006,-.0026,.0044,-.0046,-.0016,-.0091,0
20120319,,,.0041,.005,-.0018,-.0008,-.0035,.0014,0
20120320,.0033614,.0367076,-.0039,-.0061,.0023,.0009,.0013,.0012,0
20120321,.001489,-.0031197,-.001,.0028,-.0036,.0013,.0009,.003,0
20120322,.0260174,.0034945,-.0074,-.0016,-.0039,.0053,-.0002,.0125,0
20120323,.0025358,.0137214,.0039,.0061,.0027,-.003,-.0018,-.0049,0
20120326,,,.0145,.0049,-.0041,.0019,-.0017,.0004,0
20120327,.00626,.0126682,-.003,-.004,-.0027,.0005,-.0012,.0049,0
20120328,-.0040882,-.0208333,-.0051,.0001,.0023,-.0019,.0038,.0053,0
20120329,-.0053543,.0171505,-.0016,-.0006,-.0016,.0013,.0013,.0011,0
20120330,.002871,-.0102635,.0028,-.0067,-.0006,-.0003,.0018,-.0016,0
20120402,,,.0077,.0035,.0003,.0017,-.0034,-.0002,0
20120403,.0042351,.0081293,-.0034,-.0033,-.0027,.0016,.0021,.01,0
20120404,.0008786,-.0283983,-.0111,-.0063,.0019,.0015,.0036,.0086,0
20120405,.0214186,.0020619,-.0003,-.0011,-.0045,.0027,-.0018,.0094,0
20120409,,,-.0121,-.0046,.0001,.0049,.0016,.0071,0
